,IsWeekend,Month_sin,Month_cos,Dow_sin,Dow_cos,PeakDemand_lag1,PeakDemand_lag7,PeakDemand
IsWeekend,1.0,0.00022055609839571083,0.0035605760753469507,-0.7862353694490732,0.17802751761823546,-0.0158258489460474,-0.08984538149559528,-0.0898893199076181
Month_sin,0.00022055609839571083,1.0,-0.007275427704617895,0.00018754717445028753,-0.0006461387187613701,-0.34506157491800166,-0.40570582849463926,-0.3346169213999716
Month_cos,0.0035605760753469507,-0.007275427704617895,1.0,-0.002997302674370816,0.005272996624968098,-0.6440656898190712,-0.6024989021435333,-0.6506398030377335
Dow_sin,-0.7862353694490732,0.00018754717445028753,-0.002997302674370816,1.0,0.00040175428827469246,0.026486468302922797,0.07318229462248918,0.07369619403048508
Dow_cos,0.17802751761823546,-0.0006461387187613701,0.005272996624968098,0.00040175428827469246,1.0,-0.07334853834068886,-0.02621295106320229,-0.025418141291928084
PeakDemand_lag1,-0.0158258489460474,-0.34506157491800166,-0.6440656898190712,0.026486468302922797,-0.07334853834068886,1.0,0.8689387794073173,0.9672676274081428
PeakDemand_lag7,-0.08984538149559528,-0.40570582849463926,-0.6024989021435333,0.07318229462248918,-0.02621295106320229,0.8689387794073173,1.0,0.8666088597190588
PeakDemand,-0.0898893199076181,-0.3346169213999716,-0.6506398030377335,0.07369619403048508,-0.025418141291928084,0.9672676274081428,0.8666088597190588,1.0
